MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude
10,5,87.0,11084.0,1,1,3,3,0,0,0,8,2,2,1,4,1,2004.0,2004.0,1,1,13,14,0.0,4,2,5,3,2,3,6,0,192.0,384.0,1,0,1,4,744.0,630.0,1374.0,1.0,0,2.0,1.0,3.0,1,8,7,1.0,2,0,2.0,400,5,2,100,0,0,0,0,0,3,4,0,6,2007,9,3,175000,-93.643062,42.061483
2,5,61.0,7328.0,1,1,2,3,0,4,0,22,2,2,1,0,1,2008.0,2009.0,1,1,13,14,140.0,4,2,5,3,6,7,6,0,1450.0,1450.0,1,0,1,4,1450.0,0.0,1450.0,0.0,0,2.0,0.0,2.0,1,6,7,0.0,0,2,3.0,788,5,2,0,93,0,0,0,0,3,4,0,2,2009,6,5,224243,-93.690402,42.037434
1,5,55.0,8250.0,1,1,2,3,0,4,0,7,2,2,1,0,5,1935.0,1950.0,1,1,14,15,0.0,4,3,3,4,4,5,4,0,0.0,30.25,1,4,0,4,1032.0,0.0,1032.0,0.0,0,1.0,0.0,2.0,1,6,7,1.0,4,3,1.0,260,5,2,0,0,0,0,0,0,3,4,0,6,2006,9,4,125000,-93.6600396,42.0277962
14,2,0.0,4447.0,1,1,3,3,0,2,0,23,2,2,3,5,1,2003.0,2003.0,1,1,13,14,0.0,4,2,5,3,6,7,6,0,530.0,530.0,1,0,1,4,530.0,550.0,1080.0,0.0,0,2.0,1.0,2.0,1,4,7,0.0,0,2,2.0,496,5,2,0,50,0,0,0,0,3,4,0,7,2006,9,4,139000,-93.645478,42.046107
2,5,53.0,8128.0,1,1,3,3,0,1,0,15,2,2,1,0,5,1954.0,1954.0,3,1,8,8,80.0,4,1,5,3,0,1,6,0,572.0,1062.0,1,2,1,4,1062.0,0.0,1062.0,1.0,0,1.0,0.0,3.0,1,6,7,0.0,0,3,1.0,297,5,2,0,0,0,0,0,0,3,4,0,2,2009,9,4,131000,-93.618549,42.039674
3,6,41.0,5748.0,1,1,3,1,0,4,1,6,2,2,3,0,1,2005.0,2006.0,3,1,5,5,406.875,4,2,5,1,2,3,6,0,0.0,1573.0,1,0,1,4,1778.0,0.0,1778.0,2.0,0,2.0,0.0,2.0,1,5,7,1.0,0,0,2.0,495,5,2,123,53,0,0,0,0,3,4,0,2,2006,6,5,339500,-93.616026,42.009398
1,6,51.0,6120.0,1,1,2,3,0,4,0,3,2,2,1,0,0,1925.0,1999.0,1,1,8,8,0.0,4,0,5,3,6,7,6,0,960.0,960.0,1,2,1,4,995.0,0.0,995.0,0.0,0,1.0,0.0,2.0,1,5,7,0.0,4,3,1.0,264,5,2,0,15,0,0,0,0,3,2,0,3,2009,9,0,115000,-93.622565,42.032375
2,5,0.0,10920.0,1,1,3,3,0,0,0,15,2,2,1,0,1,1960.0,1960.0,3,1,8,8,212.0,4,1,5,3,1,2,6,0,520.0,1253.0,1,4,1,4,1253.0,0.0,1253.0,1.0,0,1.0,1.0,2.0,1,5,7,1.0,0,2,1.0,352,5,2,0,175,0,0,0,0,3,1,0,5,2008,9,4,157000,-93.605659,42.038686
2,5,70.0,11767.0,1,1,2,3,0,4,0,7,2,2,1,0,1,1956.0,1956.0,3,1,6,6,259.0,4,1,5,3,5,6,6,0,604.0,1150.0,1,0,1,4,1560.0,0.0,1560.0,0.0,0,1.0,0.0,2.0,1,7,2,1.0,0,3,1.0,313,5,2,0,0,0,0,0,0,3,4,0,5,2009,9,4,103500,-93.664336,42.019381
8,6,35.0,3675.0,1,1,2,3,0,4,0,7,2,2,3,3,1,2005.0,2006.0,1,1,13,14,82.0,4,2,5,1,2,3,6,0,0.0,547.0,1,2,1,4,1072.0,0.0,1072.0,1.0,0,1.0,0.0,2.0,1,5,7,0.0,1,0,2.0,525,5,2,0,44,0,0,0,0,3,4,0,10,2006,6,5,142500,-93.669927,42.018959
5,5,78.0,15600.0,1,1,2,0,0,4,0,6,2,2,1,1,5,1949.0,2005.0,1,1,2,2,0.0,4,0,5,3,1,2,5,0,248.0,1067.0,2,1,0,4,986.0,537.0,1523.0,1.0,0,2.0,0.0,3.0,1,7,1,1.0,0,3,1.0,295,5,2,0,0,0,0,0,0,3,4,0,10,2009,9,4,158000,-93.640762,42.014943
13,5,70.0,8749.0,1,1,2,3,0,4,0,5,2,2,1,5,1,2002.0,2002.0,1,1,13,14,0.0,4,2,5,3,6,7,6,0,840.0,840.0,1,0,1,4,840.0,885.0,1725.0,0.0,0,2.0,1.0,3.0,1,6,7,0.0,0,2,2.0,550,5,2,0,48,0,0,0,0,3,4,0,11,2009,9,4,198500,-93.686744,42.016973
1,6,50.0,6000.0,1,1,2,3,0,4,0,3,2,2,1,0,5,1921.0,1950.0,1,1,14,16,0.0,4,1,5,3,3,4,6,0,0.0,616.0,1,2,1,4,616.0,0.0,616.0,0.0,0,1.0,0.0,2.0,1,4,7,0.0,4,3,1.0,205,5,2,0,0,0,0,0,0,3,4,0,6,2006,9,4,89000,-93.6243778,42.0310818
3,6,37.0,4435.0,1,1,2,3,0,4,0,5,2,2,3,0,1,2004.0,2004.0,1,1,13,14,169.0,4,2,5,2,2,3,6,0,186.0,848.0,1,0,1,4,848.0,0.0,848.0,1.0,0,1.0,0.0,1.0,1,3,7,1.0,0,2,2.0,420,5,2,140,0,0,0,0,0,3,4,0,5,2006,9,4,155900,-93.683728,42.016252
2,5,129.0,16870.0,1,1,3,3,0,3,0,18,2,2,1,0,1,2004.0,2005.0,3,1,13,14,238.0,4,2,5,1,2,3,6,0,251.0,1782.0,1,0,1,4,1782.0,0.0,1782.0,1.0,0,2.0,0.0,3.0,1,7,7,2.0,0,0,3.0,932,5,2,99,82,0,0,0,0,3,4,0,4,2009,9,4,296000,-93.658854,42.060934
2,5,65.0,10237.0,1,1,2,3,0,4,0,8,6,2,1,0,1,2005.0,2006.0,1,1,13,14,0.0,4,2,5,3,2,3,6,0,1288.0,1316.0,1,0,1,4,1316.0,0.0,1316.0,0.0,0,2.0,0.0,3.0,1,6,7,1.0,0,0,2.0,397,5,2,100,0,0,0,0,0,3,4,0,10,2006,6,5,169990,-93.646459,42.063304
2,5,68.0,9571.0,1,1,2,3,0,4,0,7,2,2,1,0,0,1956.0,1956.0,1,1,14,15,0.0,4,1,5,0,1,2,6,0,405.0,1144.0,1,4,1,4,1144.0,0.0,1144.0,1.0,0,1.0,0.0,3.0,1,6,7,0.0,0,3,1.0,596,5,2,44,0,0,0,0,0,3,4,0,6,2010,9,4,129000,-93.667708,42.024208
2,5,90.0,15750.0,1,1,2,3,0,3,0,5,1,2,1,0,1,1999.0,2000.0,1,1,13,14,260.0,4,2,5,1,2,3,6,0,216.0,1462.0,1,0,1,4,1513.0,0.0,1513.0,1.0,0,2.0,0.0,2.0,1,5,7,1.0,0,0,2.0,521,5,2,135,34,0,0,0,0,3,4,0,6,2009,9,4,220000,-93.67915,42.0181479
2,2,80.0,8000.0,1,1,2,3,0,4,0,23,2,2,1,0,1,2002.0,2002.0,1,1,13,14,0.0,4,2,5,3,2,3,6,0,659.0,1492.0,1,0,1,4,1492.0,0.0,1492.0,1.0,0,2.0,0.0,3.0,1,6,7,1.0,0,2,2.0,596,5,2,277,137,0,0,0,0,3,4,0,4,2010,9,4,230000,-93.639516,42.048606
5,5,60.0,10284.0,1,1,2,3,0,0,0,20,2,2,1,1,5,1925.0,1993.0,1,1,8,8,0.0,4,1,5,2,0,1,3,0,55.0,1151.0,1,0,1,4,845.0,436.0,1281.0,1.0,0,2.0,0.0,1.0,1,6,4,0.0,4,3,2.0,580,5,2,0,0,0,0,0,0,3,4,0,8,2007,9,0,128500,-93.615536,42.0357
5,5,71.0,8520.0,1,1,2,3,0,0,0,15,0,2,1,1,2,1952.0,1952.0,1,1,3,15,0.0,1,1,5,3,5,6,6,0,403.0,910.0,1,1,1,4,910.0,475.0,1385.0,0.0,0,2.0,0.0,4.0,1,6,7,0.0,4,3,2.0,720,5,2,0,0,0,0,0,0,3,2,0,6,2010,9,4,166000,-93.609218,42.0347571
1,6,60.0,10800.0,1,0,2,3,0,4,0,20,2,2,1,0,5,1885.0,1995.0,4,1,13,14,0.0,4,0,5,3,6,7,6,0,641.0,641.0,1,2,1,4,1047.0,0.0,1047.0,0.0,0,1.0,0.0,2.0,1,6,7,0.0,4,3,1.0,273,1,0,0,0,0,0,0,0,3,4,0,8,2007,9,4,100000,-93.615432,42.033405
2,5,64.0,7360.0,1,1,2,3,0,4,0,5,2,2,1,0,1,2010.0,2010.0,1,1,13,14,80.0,4,2,5,3,2,3,6,0,1198.0,1222.0,1,0,1,4,1222.0,0.0,1222.0,0.0,0,2.0,0.0,2.0,1,6,7,0.0,0,2,2.0,615,5,2,0,54,0,0,0,0,3,4,0,3,2010,9,4,187000,-93.692521,42.024604
13,2,0.0,7050.0,1,1,2,3,0,4,0,23,2,2,1,5,1,2001.0,2001.0,1,1,13,14,0.0,4,2,5,3,2,3,6,0,319.0,1057.0,1,0,1,4,1057.0,872.0,1929.0,1.0,0,2.0,1.0,3.0,1,7,7,1.0,0,0,2.0,650,5,2,0,175,0,0,0,0,3,4,0,5,2007,9,4,226000,-93.639515,42.048488
12,5,74.0,11988.0,1,1,3,1,0,4,1,6,2,2,1,5,5,1934.0,1995.0,3,1,12,13,0.0,4,1,5,3,3,4,6,0,389.0,715.0,1,1,1,0,849.0,811.0,1660.0,0.0,0,1.0,1.0,3.0,1,6,7,1.0,4,3,1.0,240,5,2,0,0,0,0,0,0,3,4,0,8,2008,9,4,188700,-93.641405,42.018443
3,2,34.0,3628.0,1,2,2,3,0,4,0,23,2,2,3,0,1,2004.0,2004.0,1,1,8,8,0.0,4,2,5,3,6,7,6,0,1143.0,1143.0,1,0,1,4,1143.0,0.0,1143.0,0.0,0,1.0,1.0,1.0,1,5,7,1.0,0,2,2.0,588,5,2,0,175,0,0,0,0,3,4,0,5,2006,9,4,176400,-93.647832,42.047592
2,5,68.0,9571.0,1,1,2,3,0,4,0,7,2,2,1,0,1,1956.0,1956.0,3,1,8,8,0.0,4,1,5,3,5,6,6,0,816.0,1073.0,1,4,1,0,1073.0,0.0,1073.0,1.0,0,1.0,0.0,2.0,1,5,7,0.0,0,3,1.0,340,5,2,0,0,0,0,0,0,3,0,0,2,2009,9,4,121500,-93.668212,42.023982
3,5,38.0,14963.0,1,1,1,3,0,4,0,27,2,2,3,0,1,1996.0,1996.0,1,1,3,3,0.0,4,2,5,3,2,3,6,0,474.0,1260.0,1,0,1,4,1288.0,0.0,1288.0,1.0,0,1.0,1.0,1.0,1,4,7,2.0,0,0,2.0,500,5,2,120,30,0,0,0,0,3,4,0,12,2008,9,4,245500,-93.647655,42.045012
2,5,0.0,11500.0,1,1,3,0,0,1,0,4,2,2,1,0,0,1966.0,1966.0,0,5,9,10,0.0,4,1,2,1,3,4,0,0,197.0,1182.0,1,0,1,4,1643.0,0.0,1643.0,1.0,0,2.0,0.0,2.0,1,6,7,1.0,0,3,2.0,438,5,2,339,0,0,0,0,0,3,4,0,3,2008,9,4,195000,-93.6826513,42.0249247
13,5,88.0,12665.0,1,1,3,3,0,4,0,26,2,2,1,5,1,2005.0,2006.0,3,1,13,14,245.0,4,2,2,1,6,7,6,0,1094.0,1094.0,1,0,1,4,1133.0,1349.0,2482.0,0.0,0,2.0,1.0,4.0,1,9,7,1.0,2,0,3.0,642,5,2,144,39,0,0,0,0,3,4,0,2,2007,9,4,281213,-93.647569,41.993261
2,5,0.0,8885.0,1,1,3,2,0,4,1,14,2,2,1,0,1,1983.0,1983.0,1,1,6,6,0.0,4,1,5,0,1,2,0,0,239.0,864.0,1,4,1,4,902.0,0.0,902.0,1.0,0,1.0,0.0,2.0,1,5,7,0.0,0,3,2.0,484,5,2,164,0,0,0,0,0,3,2,0,6,2006,9,4,131000,-93.60268,41.988314
2,5,73.0,8899.0,1,1,3,3,0,4,0,8,2,2,1,0,1,2007.0,2007.0,1,1,13,14,0.0,4,2,5,0,2,3,6,0,1316.0,1340.0,1,0,1,4,1340.0,0.0,1340.0,0.0,0,2.0,0.0,3.0,1,6,7,0.0,0,0,2.0,396,5,2,100,30,0,0,0,0,3,4,0,8,2007,6,5,181134,-93.644376,42.062931
14,5,36.0,2448.0,1,1,2,3,0,4,0,18,2,2,2,5,1,2003.0,2004.0,1,1,13,16,106.0,4,2,5,3,2,3,6,0,191.0,764.0,1,0,1,4,764.0,862.0,1626.0,1.0,0,2.0,1.0,2.0,1,6,7,0.0,2,2,2.0,474,5,2,0,27,0,0,0,0,3,4,0,10,2008,9,4,154000,-93.650607,42.057094
10,5,80.0,13014.0,1,1,2,3,0,4,0,21,2,2,1,4,1,1978.0,1978.0,1,1,6,10,39.0,4,1,5,0,0,1,6,0,480.0,1008.0,1,4,1,4,1096.0,0.0,1096.0,1.0,0,1.0,0.0,3.0,1,6,7,1.0,0,3,2.0,484,5,2,168,0,0,0,0,0,3,4,0,12,2008,9,4,157500,-93.672241,42.032365
12,6,60.0,3600.0,1,0,2,3,0,4,0,20,2,2,1,5,5,1917.0,2007.0,1,1,12,13,0.0,4,0,5,3,6,7,6,0,624.0,624.0,1,0,1,4,664.0,624.0,1288.0,1.0,0,1.0,0.0,3.0,1,5,7,1.0,0,3,1.0,280,5,0,0,103,0,0,0,0,3,4,0,5,2009,9,4,119000,-93.6130761,42.0281106
12,5,96.0,13132.0,1,1,2,3,0,4,0,6,2,2,1,5,1,1914.0,1950.0,1,1,14,15,0.0,4,0,5,2,6,7,6,0,747.0,747.0,1,2,1,1,892.0,892.0,1784.0,0.0,0,1.0,1.0,4.0,1,9,7,0.0,4,3,1.0,180,1,0,203,40,0,0,0,0,3,4,0,7,2006,9,4,138887,-93.646438,42.01895
3,5,48.0,6240.0,1,1,2,3,0,4,0,18,2,2,3,0,1,2006.0,2006.0,3,1,8,8,176.0,4,2,5,3,2,3,6,0,461.0,1324.0,1,0,1,4,1324.0,0.0,1324.0,1.0,0,2.0,0.0,2.0,1,6,7,1.0,0,0,2.0,550,5,2,192,38,0,0,0,0,3,4,0,12,2009,9,4,254000,-93.6514849,42.056983
2,5,90.0,14115.0,1,1,3,3,0,4,0,6,2,2,1,0,5,1956.0,2004.0,1,1,11,12,0.0,4,2,5,3,0,1,2,0,230.0,1073.0,1,0,1,4,1811.0,0.0,1811.0,0.0,0,1.0,0.0,2.0,1,6,7,1.0,0,0,2.0,470,5,2,0,0,0,0,0,0,3,4,0,7,2006,9,0,230000,-93.642884,42.013296
5,5,78.0,17503.0,1,1,2,3,0,4,0,15,0,2,1,1,1,1948.0,1950.0,1,1,13,14,0.0,4,1,5,3,6,7,6,0,912.0,912.0,1,4,1,4,912.0,546.0,1458.0,0.0,0,1.0,0.0,3.0,1,6,7,1.0,0,3,1.0,330,5,2,192,0,0,0,0,0,3,4,0,1,2010,9,0,97500,-93.620341,42.035869
2,2,100.0,11824.0,1,1,3,3,0,0,0,23,2,2,1,0,1,2006.0,2006.0,1,1,13,14,298.0,4,2,5,0,6,7,6,0,1675.875,1685.0,1,0,1,4,1685.0,0.0,1685.0,0.0,0,2.0,0.0,2.0,1,5,7,1.0,0,0,3.0,658,5,2,112,63,0,0,0,0,3,4,0,4,2007,9,4,253000,-93.642046,42.052267
2,5,0.0,11765.0,1,1,3,3,0,0,0,15,2,2,1,0,1,1957.0,1957.0,1,1,14,15,302.0,4,1,5,2,5,6,6,0,490.0,1617.0,1,1,1,4,1797.0,0.0,1797.0,0.0,0,1.0,1.0,3.0,1,7,7,1.0,0,3,3.0,960,5,2,0,0,0,0,0,0,3,4,0,6,2006,9,4,169000,-93.6192621,42.0531078
10,5,85.0,10200.0,1,1,2,3,0,4,0,26,2,2,1,4,1,1988.0,1989.0,1,1,6,6,219.0,4,1,5,0,2,3,6,0,678.0,1461.0,1,0,1,4,1509.0,0.0,1509.0,1.0,0,2.0,0.0,3.0,1,5,7,1.0,0,2,2.0,600,5,2,224,0,0,0,0,0,3,4,0,8,2008,9,0,175000,-93.64427,41.998554
13,5,73.0,8814.0,1,1,2,3,0,4,0,15,1,2,1,5,0,1968.0,1968.0,1,1,8,8,0.0,4,1,5,3,3,4,6,0,0.0,732.0,1,0,1,4,732.0,732.0,1464.0,0.0,0,1.0,1.0,4.0,1,7,7,0.0,0,3,2.0,470,5,2,0,40,0,0,0,0,3,4,0,6,2008,9,4,141000,-93.6264356,42.0458538
5,5,50.0,9350.0,1,1,2,0,0,4,0,7,2,2,1,1,0,1947.0,1979.0,1,1,15,16,0.0,4,1,1,3,3,4,6,0,564.0,756.0,1,0,1,4,1169.0,0.0,1531.0,0.0,0,1.0,0.0,3.0,1,8,7,1.0,4,3,1.0,209,5,2,0,0,0,0,0,0,3,2,0,6,2010,9,4,127000,-93.66526,42.025173
5,6,0.0,3950.0,1,0,2,0,0,4,0,20,0,2,1,1,7,1926.0,2004.0,1,1,8,8,0.0,4,1,5,3,5,6,6,0,350.0,818.0,1,4,1,4,818.0,406.0,1224.0,0.0,0,1.0,0.0,3.0,1,5,7,0.0,4,3,1.0,210,5,0,0,0,0,0,0,0,3,4,0,12,2009,9,4,115000,-93.6179738,42.0342224
13,5,80.0,10400.0,1,1,2,3,0,4,0,19,2,2,1,5,0,1980.0,1988.0,1,1,6,6,280.0,4,1,5,2,6,7,6,0,738.0,738.0,1,4,1,4,1277.0,767.0,2044.0,0.0,0,2.0,1.0,3.0,1,7,2,1.0,0,3,2.0,489,5,2,28,73,0,0,0,0,3,4,0,3,2008,9,4,185000,-93.635153,42.052544
0,5,95.0,11345.0,1,1,2,3,0,0,0,15,1,2,0,5,1,1948.0,1950.0,1,4,0,0,406.875,4,1,5,3,5,6,6,0,708.0,928.0,1,2,1,0,928.0,992.0,1920.0,0.0,0,2.0,0.0,4.0,1,10,7,0.0,4,3,2.0,400,1,2,0,0,0,0,0,0,3,4,0,7,2007,9,4,137000,-93.621485,42.03465
14,2,0.0,2117.0,1,1,2,3,0,4,0,23,2,2,2,5,1,2000.0,2000.0,1,1,8,8,216.0,4,2,5,3,2,3,6,0,378.0,756.0,1,0,1,4,769.0,804.0,1573.0,0.0,0,2.0,1.0,3.0,1,5,7,0.0,4,3,2.0,440,5,2,0,32,0,0,0,0,3,4,0,6,2010,9,4,177500,-93.645606,42.046145
2,5,88.0,11896.0,1,1,3,3,0,0,0,26,2,2,1,0,1,2008.0,2008.0,1,1,13,14,60.0,4,2,5,3,2,3,6,0,1258.0,1336.0,1,0,1,4,1346.0,0.0,1346.0,1.0,0,2.0,0.0,3.0,1,6,7,1.0,0,0,3.0,660,5,2,100,48,0,0,0,0,3,4,0,5,2010,9,4,220000,-93.649203,41.995346
2,5,90.0,11664.0,1,1,2,3,0,0,0,5,2,2,1,0,1,2002.0,2002.0,3,1,13,14,0.0,4,2,5,0,2,3,6,0,335.0,1569.0,1,0,1,4,1611.0,0.0,1611.0,1.0,0,2.0,0.0,3.0,1,6,7,0.0,0,2,3.0,960,5,2,262,93,0,0,0,0,3,4,0,9,2009,9,4,250000,-93.687819,42.017109
1,5,64.0,8574.0,1,1,2,3,0,4,0,6,2,2,1,0,7,1916.0,2000.0,1,1,12,13,0.0,4,0,5,3,6,7,6,0,816.0,816.0,1,0,1,4,1232.0,0.0,1232.0,0.0,0,1.0,0.0,3.0,1,6,7,1.0,4,3,2.0,440,5,2,0,0,0,0,0,0,3,4,0,10,2009,9,4,147500,-93.646655,42.017889
2,5,62.0,8010.0,1,1,2,3,0,4,0,15,2,2,1,0,3,1958.0,2007.0,3,1,14,15,0.0,2,1,5,2,2,3,6,0,206.0,951.0,1,2,1,4,951.0,0.0,951.0,1.0,0,1.0,0.0,2.0,1,6,7,0.0,4,3,2.0,480,5,2,0,0,0,0,0,0,3,4,0,9,2009,9,4,143500,-93.608196,42.038509
5,5,60.0,9780.0,1,1,2,3,0,4,0,7,2,2,1,1,4,1934.0,1950.0,1,1,8,8,0.0,4,2,5,3,6,7,6,0,585.0,585.0,1,4,0,0,687.0,425.0,1112.0,1.0,0,2.0,0.0,4.0,1,6,7,0.0,4,3,1.0,226,4,0,0,0,0,0,0,0,3,4,0,3,2009,9,4,63000,-93.658381,42.022978
2,5,75.0,10650.0,1,1,2,3,0,0,0,5,2,2,1,0,0,1976.0,1976.0,1,1,6,6,0.0,4,1,2,0,3,4,0,0,0.0,894.0,1,4,1,4,894.0,0.0,894.0,1.0,0,1.0,0.0,3.0,1,5,7,0.0,0,3,1.0,308,5,2,365,0,0,0,0,0,3,2,0,2,2010,9,4,128200,-93.687745,42.021395
13,5,96.0,11631.0,1,1,3,3,0,0,0,8,2,2,1,5,1,2004.0,2005.0,1,1,13,14,236.0,4,2,5,0,6,7,6,0,1052.0,1052.0,1,0,1,4,1052.0,1321.0,2373.0,0.0,0,2.0,1.0,4.0,1,9,7,1.0,2,0,3.0,632,5,2,120,46,0,0,0,0,3,4,0,6,2006,6,5,258000,-93.644213,42.061984
